name,address,category,rating,found_at,location
Ratnika - A Vegetarian Restaurant,"Ratnawali - A Vegetarian Heritage Hotel, B-12, Mirza Ismail Rd, near Paanch Batti, Jayanti Market, New Colony, Jaipur, Rajasthan 302001, India",Indian restaurant,4.7,2026-06-08 13:55,Jaipur Rajasthan
Royal Recipes Restaurant,"Royal recipes, Amer Rd, Parasrampuri, Jaipur, Rajasthan 302002, India",North Indian restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
Niros Restaurant,"Shop No 73, Sharma building, 319, Mirza Ismail Rd, Panch Batti, C Scheme, New Colony, Jaipur, Rajasthan 302001, India",Non vegetarian restaurant,4.1,2026-06-08 13:55,Jaipur Rajasthan
Kesar Restaurant,"Kala Hanuman Rd, near Teja Ji Temple, opp. Jalmahal, Ramgarhmode, Parasrampuri, Jaipur, Rajasthan 302002, India",Indian restaurant,4.6,2026-06-08 13:55,Jaipur Rajasthan
Steam,"Bhawani Singh Rd, Rambagh, Jaipur, Rajasthan 302015, India",Restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
THE ROBOT RESTAURANT JAIPUR - THE YELLOW HOUSE | Best Chinese and Indian Restaurant In Jaipur,"next to Raj Mandir Cinema, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",North Indian restaurant,3.7,2026-06-08 13:55,Jaipur Rajasthan
RajRasa,"S-20,21, Nagar Nigam Colony, Amer Rd, Santosh Sagar Colony, Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302002, India",Indian restaurant,4.7,2026-06-08 13:55,Jaipur Rajasthan
Jaipur Restaurant,"VQG8+2G5, Shanthi Nagar B, Gujar Ki Thadi, Shanthi Nagar, Mansarovar, Jaipur, Rajasthan 302019, India",Vegetarian restaurant,4.8,2026-06-08 13:55,Jaipur Rajasthan
The Grill Restaurant ( Legacy of Savoy Jaipur continues),"Hotel Savoy, Mirza Ismail Rd, Sangram Colony, Ashok Nagar, Jaipur, Rajasthan 302001, India",Restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
LASA Bistro | Pure Veg Restaurant in Jaipur,"E - 8 /9, North Part, Ram Path Shyam Nagar New Sanganer Road Metro Pillar no. 96-97, Jaipur, Rajasthan 302019, India",Vegetarian restaurant,4.2,2026-06-08 13:55,Jaipur Rajasthan
Hanwant Mahal,"72GV+RPC, Cantt Area, Jodhpur, Rajasthan 342011, India",Restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
The Flamingo,"The Flamingo 4th Floor, Plot No.4 G K Tower, Gaurav Path, Ratanada Cir, Jodhpur, Rajasthan 342002, India",Non vegetarian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
NH RESTAURANT JODHPUR,"Gokul Market, Sangariya Bypass Rd, opposite Pasvnath city, Basni, Jodhpur, Rajasthan 342013, India",Family restaurant,4.9,2026-06-08 13:55,Jodhpur Rajasthan
On The Rocks,"Circuit House Rd, near Ajit Bhawan, Ajit Colony, Jodhpur, Rajasthan 342006, India",Asian fusion restaurant,4.2,2026-06-08 13:55,Jodhpur Rajasthan
Indique Restaurant & Bar,"Pal Haveli, near Clock Tower Road, Pal Haveli, Ghantaghar, Gulab Sagar, Jodhpur, Rajasthan 342001, India",Continental restaurant,4.3,2026-06-08 13:55,Jodhpur Rajasthan
Indigo Restaurant,"72XC+2PP, Roof Top Gouri Haveli, Laykan Mohalla, Gulab Sagar, Jodhpur, Rajasthan 342001, India",North Indian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
Chimney RJ-19 Restaurant,"Saloon House, 48, Umed Club Rd, Ajit Colony, Jodhpur, Rajasthan 342001, India",Rajasthani restaurant,4.8,2026-06-08 13:55,Jodhpur Rajasthan
Gopal Roof Top Restaurant ( Rajsthani Cuisine & Lal Maas ),"Makrana Mohalla, near Mehrangarh Fort, Sodagaran Mohalla, Jodhpur, Rajasthan 342001, India",Rajasthani restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
O High Jodhpur,"Ashoka Plaza, 34-A, Pal Rd, in front of Ashok Udyan, Keshavnagar, Jodhpur, Rajasthan 342008, India",North Indian restaurant,4.8,2026-06-08 13:55,Jodhpur Rajasthan
The Olive Court,"Airport Rd, near Jeet Apartment, Ratanada, Jodhpur, Rajasthan 342011, India",North Indian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
Hari Vedas' Jodhpur,"Plot No, 672, 11th C Rd, Above Manyavar, Sardarpura, Jodhpur, Rajasthan 342003, India",Restaurant,4.2,2026-06-08 13:55,Jodhpur Rajasthan
THE SPICE STORY II BEST VEGETARIAN FAMILY RESTAURANT II FINE DINE & ROOFTOP,"3rd Floor, Plot No. 3 , East Patel Nagar, Circuit House Rd, Ratanada, Jodhpur, Rajasthan 342011, India",Vegetarian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
House of Arches,"Surya nagri dharm kata, bye pas road, Mansarover Colony, Pal, Jodhpur, Rajasthan 342014, India",North Indian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
Kalinga Restaurant,"Near, Station Rd, Ratanada, Jodhpur, Rajasthan 342001, India",North Indian restaurant,4.2,2026-06-08 13:55,Jodhpur Rajasthan
Gypsy Vegetarian Restaurant,"P No, 689, 9th C Rd, Sardarpura, Jodhpur, Rajasthan 342003, India",Vegetarian restaurant,4,2026-06-08 13:55,Jodhpur Rajasthan
The Grand Turf Pure Vegetarian Family Restaurant,"At Suraj Gardens, Near India Bulls Mall, Pali Highway, Jodhpur, Rajasthan 342001, India",Vegetarian restaurant,4.5,2026-06-08 13:55,Jodhpur Rajasthan
Unaavu,"12, Krishna Nagar, Defence Lab Rd, near 5 Batti Circle, Ratanada, Jodhpur, Rajasthan 342011, India",South Indian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
Vegetrainian - The Train Restaurant,"Plot No. 1A, Residency Rd, opp. Polytechnic College, P.W.D Colony, Jodhpur, Rajasthan 342003, India",North Indian restaurant,4.3,2026-06-08 13:55,Jodhpur Rajasthan
Tamarind Restaurant Jodhpur,"Residency Rd, near Axis Bank - Jodhpur Branch, Jaljog Chouraha, Sardarpura, Jodhpur, Rajasthan 342003, India",Restaurant,4.1,2026-06-08 13:55,Jodhpur Rajasthan
Baari restaurant,"Fort Rd, near ship house, Paota, Jodhpur, Rajasthan 342006, India",Indian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
Kasturi Flavours Restaurant - Jodhpur,"Hotel Kasturi Orchid, Pal Rd, Jodhpur, Rajasthan 342014, India",Vegetarian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
Maverick Jodhpur,"Hotel Residency Palace, near Senapati Bhawan, Ratanada, Jodhpur, Rajasthan 342011, India",Vegetarian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
Rigveda’ Jodhpur,"Ground Floor, 117 Hamir Tower, PWD Rd, P.W.D Colony, Jodhpur, Rajasthan 342003, India",Vegetarian restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
Blue Bird Cafe & Restaurant,"Hostel Vostel, Fort Rd, Killi Khana, Makrana mohalla, Sodagaran Mohalla, Jodhpur, Rajasthan 342001, India",Restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
The Hoot at Royal Marwar Club,"The Hoot Foot Hill of Umaid Bhawan, Jodhpur, Rajasthan 342001, India",Vegetarian restaurant,4.1,2026-06-08 13:55,Jodhpur Rajasthan
Maa Ki Dhani (माँ की ढाणी),"near Union Bank, Saraswati Nagar, Basni, Jodhpur, Rajasthan 342001, India",Restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
Bazar-All Day Dining Restaurant,"Shakun motor, Jawahar tower, 29, 2nd A Rd, Sector-H, Shastri Nagar, Jodhpur, Rajasthan 342003, India",Restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
Jaaton Ri Dhani Restaurant (जाटों री ढाणी रेस्टोरेंट),"Near SBI ATM, Tilak Nagar 2nd, Main, Bhadwasiya RTO Link Rd, Jodhpur, Rajasthan 342007, India",North Indian restaurant,4.5,2026-06-08 13:55,Jodhpur Rajasthan
Bungalow 12,"12A, old, Residency Rd, Civil Lines, Ratanada, Jodhpur, Rajasthan 342001, India",Vegetarian restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
Anna Cafe And Restaurant‍ Jodhpur,"Umaid chowk, Golnadi bajarang colony, near Hotel Bawarri haveli, Jodhpur, Rajasthan 342001, India",Indian restaurant,4.9,2026-06-08 13:55,Jodhpur Rajasthan
The Spice Route Restaurant,"Paota, Jodhpur, Rajasthan 342006, India",Restaurant,4.3,2026-06-08 13:55,Jodhpur Rajasthan
"Kake di Hatti - Family Restaurant, Jodhpur","1st floor, 580/C, 9th C Rd, Sardarpura, Jodhpur, Rajasthan 342001, India",North Indian restaurant,4.2,2026-06-08 13:55,Jodhpur Rajasthan
Jodhpur 1459 AD,"Mehrangarh Ft Rd, near Raoti Palace Road, Jodhpur, Rajasthan 342001, India",Fine dining restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
Nutrieat- Healthy-food-in-jodhpur,"673D, 10th C Rd, near nutrieat, Ahead Chandroli House, Sardarpura, Jodhpur, Rajasthan 342003, India",Cafe,4.8,2026-06-08 13:55,Jodhpur Rajasthan
Ricotta,"nr. Ganesh Lal HP Petrol Pump, Opp. Medical College, Sindhi Colony, Sector-E, Shastri Nagar, Jodhpur, Rajasthan 342003, India",Italian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
Vijay Restaurant,"Bazar, 1st Floor, Main Chowk, Katla, Jodhpur, Rajasthan 342001, India",Rajasthani restaurant,4.1,2026-06-08 13:55,Jodhpur Rajasthan
THE ROYAL MADRASI RESTRO,"THE ROYAL MADRASI RESTRO, Hari nagar, near BR Birla School, Jhanwar Rd, Jodhpur, Rajasthan 342014, India",South Indian restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
The Irish Courtyard,"1st, High Court Colony, Pandit Shree Radha Krishna, shrimali marg, Ratanada, Jodhpur, Rajasthan 342011, India",Irish restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
Haldi Restaurant & Banquet Hall,"Dauji Hotel Tiraha, Before Basni Flyover, AIIMS Rd, Basni, Jodhpur, Rajasthan 342011, India",North Indian restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
