place_id,name,address,category,rating,first_seen,location
ChIJbdOLmwW0bTkRR8rR9Dxa6uA,Chao Chinese Bistro,"Holiday Inn, Sardar Patel Marg, Shivaji Nagar, Bais Godam, Jaipur, Rajasthan 302001, India",Chinese restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
ChIJO-MTKTy3bTkRSl7cYKa0gK0,Tapri Central,"Rooftop B4-E, Prithviraj Rd, opposite Surana Jewelers, opposite Central Park Gate, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Tea house,4.5,2026-06-08 13:55,Jaipur Rajasthan
ChIJOVFzTnW1bTkREtyCQydsj9M,Jeypore Cafe and Restaurant Vaishali Nagar,"D-4, Vaishali Marg, near Crossland Hyundai, D - Block, Vaishali Nagar, Jaipur, Rajasthan 302021, India",North Indian restaurant,4.8,2026-06-08 13:55,Jaipur Rajasthan
ChIJhXebGBe0bTkRkE8j1hFdOAQ,Café Bae,"A/1, 21, Sahkar Marg, Circle, near 22 Godown, C Scheme, Jaipur, Rajasthan 302006, India",Restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
ChIJzTF6keW1bTkRO97Kla4mFGQ,Okra,"Near, Ashram Marg, Jawahar Circle, Jaipur, Rajasthan 302015, India",North Indian restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
ChIJX2qJV0yxbTkRbzau5wY5XRI,Baradari Restaurant & Bar,"Gate No 2, Jaleb Chowk, near, City palace Rd, Gangori Bazaar, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002, India",Bar & grill,4,2026-06-08 13:55,Jaipur Rajasthan
ChIJzxpcTUK3bTkR_0uU7Jv-uFI,Ratnika - A Vegetarian Restaurant,"Ratnawali - A Vegetarian Heritage Hotel, B-12, Mirza Ismail Rd, near Paanch Batti, Jayanti Market, New Colony, Jaipur, Rajasthan 302001, India",Indian restaurant,4.7,2026-06-08 13:55,Jaipur Rajasthan
ChIJJer-dRexbTkRZQSxPy0uOug,Royal Recipes Restaurant,"Royal recipes, Amer Rd, Parasrampuri, Jaipur, Rajasthan 302002, India",North Indian restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
ChIJV07Ec6u2bTkRWoh9GtRm5F0,Niros Restaurant,"Shop No 73, Sharma building, 319, Mirza Ismail Rd, Panch Batti, C Scheme, New Colony, Jaipur, Rajasthan 302001, India",Non vegetarian restaurant,4.1,2026-06-08 13:55,Jaipur Rajasthan
ChIJBxXvR2CxbTkRtbN86JlW8_U,Kesar Restaurant,"Kala Hanuman Rd, near Teja Ji Temple, opp. Jalmahal, Ramgarhmode, Parasrampuri, Jaipur, Rajasthan 302002, India",Indian restaurant,4.6,2026-06-08 13:55,Jaipur Rajasthan
ChIJn1O9jJ-2bTkRNuPn5Bo4J1s,Steam,"Bhawani Singh Rd, Rambagh, Jaipur, Rajasthan 302015, India",Restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
ChIJbxieMqq2bTkRmPx7za-J1q8,THE ROBOT RESTAURANT JAIPUR - THE YELLOW HOUSE | Best Chinese and Indian Restaurant In Jaipur,"next to Raj Mandir Cinema, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",North Indian restaurant,3.7,2026-06-08 13:55,Jaipur Rajasthan
ChIJm5d8BQCxbTkRij5I1TJxX1o,RajRasa,"S-20,21, Nagar Nigam Colony, Amer Rd, Santosh Sagar Colony, Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302002, India",Indian restaurant,4.7,2026-06-08 13:55,Jaipur Rajasthan
ChIJdaduoPG1bTkR-9sn6kY-1nk,Jaipur Restaurant,"VQG8+2G5, Shanthi Nagar B, Gujar Ki Thadi, Shanthi Nagar, Mansarovar, Jaipur, Rajasthan 302019, India",Vegetarian restaurant,4.8,2026-06-08 13:55,Jaipur Rajasthan
ChIJCUOvP6y2bTkR5SemZjD5woY,The Grill Restaurant ( Legacy of Savoy Jaipur continues),"Hotel Savoy, Mirza Ismail Rd, Sangram Colony, Ashok Nagar, Jaipur, Rajasthan 302001, India",Restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
ChIJJawEXSO1bTkR_7Dpjn8GYXs,LASA Bistro | Pure Veg Restaurant in Jaipur,"E - 8 /9, North Part, Ram Path Shyam Nagar New Sanganer Road Metro Pillar no. 96-97, Jaipur, Rajasthan 302019, India",Vegetarian restaurant,4.2,2026-06-08 13:55,Jaipur Rajasthan
ChIJoyBObfeMQTkRZlQphWHkx-w,Hanwant Mahal,"72GV+RPC, Cantt Area, Jodhpur, Rajasthan 342011, India",Restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
